Series Name,Series Code,Country Name,Country Code,1990,2000,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Argentina,ARG,8.92290746696394,9.85,8.83,8.61,8.91,9.79,9.4,9.38,10.37,10.52,10.74,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Brazil,BRA,49.8646749269456,42.66,45.26,43.49,42.32,41.71,43.62,45.46,45.33,46.95,47.57,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Russian Federation,RUS,3.75193925800565,3.5,3.23,3.24,3.61,3.3,3.2,3.36,3.25,3.18,3.22,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,India,IND,58.652858348278,46.88,35.01,34.75,34.85,33.85,33.4,33.02,32.41,32.82,32.93,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,China,CHN,34.083614045282,29.63,11.34,11.53,11.45,11.94,12.18,12.56,13.13,13.71,14.45,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Uruguay,URY,44.8124773202968,38.73,49.67,47.85,51.87,56.7,59.4,60.32,60.82,60.86,60.76,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Paraguay,PRY,78.5064526181554,70.41,62.46,63.43,62.55,62.54,60.51,62.49,60.12,59.24,60.09,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,South Africa,ZAF,16.6278217077773,16.25,11.36,10.6,9.77,9.85,10.28,10.53,10.45,10.19,10.5,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: Sustainable Development Goals (SDGs),,,,,,,,,,,,,,,
Last Updated: 07/22/2022,,,,,,,,,,,,,,,
